date,overnight_rate,yield_2y,yield_3y,yield_5y,yield_7y,yield_10y,yield_long,usdcad_legacy,usdcad_current,usdcad,yield_spread_10y_2y
2009-06-22,0.25,1.23,1.85,2.54,2.78,3.43,3.91,1.1547,,1.1547,2.2
2009-06-23,0.25,1.24,1.86,2.55,2.79,3.43,3.88,1.156,,1.156,2.1900000000000004
2009-06-24,0.25,1.27,1.89,2.57,2.82,3.45,3.91,1.1461,,1.1461,2.18
2009-06-25,0.25,1.23,1.86,2.53,2.77,3.42,3.91,1.158,,1.158,2.19
2009-06-26,0.25,1.2,1.83,2.49,2.74,3.4,3.89,1.1531,,1.1531,2.2
2009-06-29,0.25,1.2,1.84,2.49,2.74,3.4,3.9,1.1583,,1.1583,2.2
2009-06-30,0.25,1.2,1.84,2.46,2.71,3.36,3.86,1.1625,,1.1625,2.16
2009-07-01,0.25,,,,,,,,,,
2009-07-02,0.25,1.17,1.81,2.42,2.68,3.35,3.85,1.1604,,1.1604,2.18
2009-07-03,0.25,1.16,1.81,2.42,2.68,3.35,3.85,1.1621,,1.1621,2.1900000000000004
2009-07-06,0.25,1.15,1.81,2.41,2.67,3.34,3.87,1.1612,,1.1612,2.19
2009-07-07,0.25,1.16,1.82,2.42,2.67,3.33,3.85,1.1631,,1.1631,2.17
2009-07-08,0.25,1.16,1.79,2.39,2.63,3.27,3.84,1.1655,,1.1655,2.1100000000000003
2009-07-09,0.25,1.17,1.81,2.42,2.67,3.31,3.87,1.1622,,1.1622,2.14
2009-07-10,0.25,1.16,1.8,2.39,2.64,3.28,3.86,1.165,,1.165,2.12
2009-07-13,0.25,1.18,1.82,2.43,2.68,3.32,3.9,1.1539,,1.1539,2.1399999999999997
2009-07-14,0.25,1.22,1.88,2.54,2.79,3.43,3.98,1.1368,,1.1368,2.21
2009-07-15,0.25,1.23,1.89,2.57,2.83,3.49,4.02,1.1194,,1.1194,2.2600000000000002
2009-07-16,0.25,1.2,1.85,2.51,2.77,3.42,3.95,1.1171,,1.1171,2.2199999999999998
2009-07-17,0.25,1.21,1.85,2.55,2.81,3.49,4.01,1.1168,,1.1168,2.2800000000000002
2009-07-20,0.25,1.21,1.85,2.52,2.78,3.43,3.96,1.1067,,1.1067,2.22
2009-07-21,0.25,1.19,1.82,2.49,2.75,3.41,3.97,1.1078,,1.1078,2.22
2009-07-22,0.25,1.2,1.83,2.52,2.78,3.45,4.01,1.0981,,1.0981,2.25
2009-07-23,0.25,1.31,1.92,2.65,2.9,3.53,4.05,1.0867,,1.0867,2.2199999999999998
2009-07-24,0.25,1.33,1.95,2.67,2.92,3.55,4.06,1.0842,,1.0842,2.2199999999999998
2009-07-27,0.25,1.35,1.97,2.7,2.94,3.58,4.07,1.0835,,1.0835,2.23
2009-07-28,0.25,1.32,1.95,2.68,2.93,3.56,4.05,1.088,,1.088,2.24
2009-07-29,0.25,1.45,1.94,2.66,2.91,3.53,4.05,1.0889,,1.0889,2.08
2009-07-30,0.25,1.47,1.96,2.68,2.93,3.56,4.05,1.0815,,1.0815,2.09
2009-07-31,0.25,1.41,1.87,2.6,2.84,3.46,3.95,1.079,,1.079,2.05
2009-08-03,0.25,,,,,,,,,,
2009-08-04,0.25,1.44,1.91,2.66,2.9,3.53,4.01,1.0686,,1.0686,2.09
2009-08-05,0.25,1.47,1.93,2.7,2.94,3.58,4.06,1.072,,1.072,2.1100000000000003
2009-08-06,0.25,1.45,1.91,2.67,2.91,3.55,4.02,1.0759,,1.0759,2.0999999999999996
2009-08-07,0.25,1.47,1.93,2.73,2.97,3.61,4.07,1.0837,,1.0837,2.1399999999999997
2009-08-10,0.25,1.41,1.87,2.66,2.9,3.55,4.03,1.0848,,1.0848,2.1399999999999997
2009-08-11,0.25,1.35,1.81,2.61,2.85,3.5,3.98,1.0988,,1.0988,2.15
2009-08-12,0.25,1.32,1.8,2.62,2.85,3.52,4.0,1.0875,,1.0875,2.2
2009-08-13,0.25,1.33,1.81,2.61,2.85,3.5,3.98,1.0852,,1.0852,2.17
2009-08-14,0.25,1.31,1.8,2.58,2.81,3.47,3.95,1.0971,,1.0971,2.16
2009-08-17,0.25,1.28,1.76,2.51,2.74,3.41,3.89,1.1079,,1.1079,2.13
2009-08-18,0.25,1.29,1.78,2.53,2.76,3.42,3.9,1.1036,,1.1036,2.13
2009-08-19,0.25,1.27,1.76,2.52,2.75,3.4,3.9,1.0969,,1.0969,2.13
2009-08-20,0.25,1.26,1.75,2.5,2.72,3.39,3.89,1.0902,,1.0902,2.13
2009-08-21,0.25,1.35,1.86,2.62,2.84,3.48,3.96,1.0799,,1.0799,2.13
2009-08-24,0.25,1.31,1.81,2.56,2.77,3.43,3.91,1.0742,,1.0742,2.12
2009-08-25,0.25,1.29,1.79,2.54,2.74,3.4,3.9,1.0782,,1.0782,2.11
2009-08-26,0.25,1.29,1.79,2.65,2.74,3.39,3.9,1.0991,,1.0991,2.1
2009-08-27,0.25,1.28,1.97,2.64,2.91,3.39,3.9,1.096,,1.096,2.1100000000000003
2009-08-28,0.25,1.28,1.97,2.64,2.91,3.4,3.91,1.0879,,1.0879,2.12
2009-08-31,0.25,1.28,1.95,2.6,2.87,3.37,3.89,1.0967,,1.0967,2.09
2009-09-01,0.25,1.24,1.9,2.57,2.84,3.35,3.88,1.1031,,1.1031,2.1100000000000003
2009-09-02,0.25,1.24,1.89,2.56,2.83,3.32,3.86,1.1065,,1.1065,2.08
2009-09-03,0.25,1.25,1.91,2.57,2.84,3.34,3.87,1.1034,,1.1034,2.09
2009-09-04,0.25,1.28,1.94,2.61,2.87,3.37,3.89,1.0889,,1.0889,2.09
2009-09-07,0.25,,,,,,,,,,
2009-09-08,0.25,1.27,1.94,2.63,2.9,3.4,3.93,1.0764,,1.0764,2.13
2009-09-09,0.25,1.24,1.92,2.62,2.9,3.41,3.94,1.0787,,1.0787,2.17
2009-09-10,0.25,1.21,1.87,2.56,2.83,3.33,3.87,1.0812,,1.0812,2.12
2009-09-11,0.25,1.2,1.87,2.55,2.82,3.32,3.86,1.0746,,1.0746,2.12
2009-09-14,0.25,1.23,1.89,2.58,2.86,3.37,3.9,1.0857,,1.0857,2.14
2009-09-15,0.25,1.24,1.9,2.59,2.86,3.37,3.89,1.0763,,1.0763,2.13
2009-09-16,0.25,1.28,1.94,2.62,2.88,3.38,3.88,1.0663,,1.0663,2.0999999999999996
2009-09-17,0.25,1.26,1.9,2.59,2.85,3.36,3.87,1.0613,,1.0613,2.0999999999999996
2009-09-18,0.25,1.28,1.93,2.63,2.89,3.39,3.91,1.0724,,1.0724,2.1100000000000003
2009-09-21,0.25,1.28,1.93,2.63,2.91,3.41,3.93,1.0777,,1.0777,2.13
2009-09-22,0.25,1.28,1.93,2.64,2.92,3.42,3.94,1.0683,,1.0683,2.1399999999999997
2009-09-23,0.25,1.27,1.93,2.63,2.91,3.41,3.93,1.0724,,1.0724,2.14
2009-09-24,0.25,1.26,1.92,2.62,2.9,3.4,3.9,1.0869,,1.0869,2.1399999999999997
2009-09-25,0.25,1.27,1.92,2.6,2.86,3.36,3.88,1.0915,,1.0915,2.09
2009-09-28,0.25,1.27,1.9,2.57,2.83,3.33,3.86,1.0861,,1.0861,2.06
2009-09-29,0.25,1.28,1.91,2.58,2.83,3.33,3.86,1.0871,,1.0871,2.05
2009-09-30,0.25,1.26,1.89,2.57,2.82,3.31,3.84,1.0722,,1.0722,2.05
2009-10-01,0.25,1.2,1.83,2.51,2.76,3.25,3.81,1.0774,,1.0774,2.05
2009-10-02,0.25,1.19,1.82,2.5,2.76,3.26,3.82,1.0845,,1.0845,2.07
2009-10-05,0.25,1.18,1.8,2.48,2.74,3.24,3.8,1.0757,,1.0757,2.0600000000000005
2009-10-06,0.25,1.25,1.88,2.55,2.8,3.29,3.84,1.0571,,1.0571,2.04
2009-10-07,0.25,1.24,1.86,2.54,2.79,3.28,3.84,1.0619,,1.0619,2.04
2009-10-08,0.25,1.5,1.95,2.63,2.87,3.35,3.89,1.0535,,1.0535,1.85
2009-10-09,0.25,1.7,2.15,2.86,3.08,3.51,3.96,1.0424,,1.0424,1.8099999999999998
2009-10-12,0.25,,,,,,,,,,
2009-10-13,0.25,1.66,2.11,2.82,3.05,3.49,3.94,1.0298,,1.0298,1.8300000000000003
2009-10-14,0.25,1.7,2.15,2.86,3.09,3.52,3.98,1.0292,,1.0292,1.82
2009-10-15,0.25,1.68,2.14,2.88,3.11,3.55,4.0,1.0303,,1.0303,1.8699999999999999
2009-10-16,0.25,1.6,2.07,2.78,3.03,3.48,3.95,1.0389,,1.0389,1.88
2009-10-19,0.25,1.62,2.1,2.81,3.06,3.5,3.97,1.0308,,1.0308,1.88
2009-10-20,0.25,1.5,1.96,2.7,2.96,3.42,3.93,1.05,,1.05,1.92
2009-10-21,0.25,1.51,1.97,2.72,2.98,3.44,3.94,1.0412,,1.0412,1.93
2009-10-22,0.25,1.49,1.96,2.73,2.99,3.46,3.94,1.0485,,1.0485,1.97
2009-10-23,0.25,1.52,1.98,2.77,3.03,3.5,3.98,1.0508,,1.0508,1.98
2009-10-26,0.25,1.54,2.0,2.81,3.07,3.54,4.02,1.0616,,1.0616,2.0
2009-10-27,0.25,1.47,1.94,2.73,3.01,3.48,3.98,1.0648,,1.0648,2.01
2009-10-28,0.25,1.43,1.9,2.7,2.97,3.45,3.96,1.0756,,1.0756,2.0200000000000005
2009-10-29,0.25,1.47,1.94,2.76,3.03,3.5,3.98,1.0705,,1.0705,2.0300000000000002
2009-10-30,0.25,1.38,1.85,2.68,2.95,3.42,3.92,1.0774,,1.0774,2.04
2009-11-02,0.25,1.41,1.87,2.69,2.96,3.44,3.94,1.0743,,1.0743,2.0300000000000002
2009-11-03,0.25,1.4,1.86,2.68,2.95,3.43,3.94,1.0704,,1.0704,2.0300000000000002
2009-11-04,0.25,1.4,1.87,2.69,2.97,3.48,3.99,1.0647,,1.0647,2.08
2009-11-05,0.25,1.42,1.89,2.74,3.03,3.53,4.03,1.0651,,1.0651,2.11
2009-11-06,0.25,1.4,1.88,2.73,3.03,3.52,4.03,1.072,,1.072,2.12
2009-11-09,0.25,1.41,1.89,2.72,3.01,3.5,4.02,1.0566,,1.0566,2.09
2009-11-10,0.25,1.4,1.89,2.71,3.01,3.5,4.02,1.0518,,1.0518,2.1
2009-11-11,0.25,,,,,,,,,,
2009-11-12,0.25,1.39,1.87,2.7,3.02,3.51,4.03,1.0519,,1.0519,2.12
2009-11-13,0.25,1.38,1.86,2.69,2.99,3.47,3.99,1.0508,,1.0508,2.0900000000000003
2009-11-16,0.25,1.34,1.81,2.63,2.92,3.39,3.93,1.046,,1.046,2.05
2009-11-17,0.25,1.31,1.78,2.59,2.89,3.37,3.91,1.0592,,1.0592,2.06
2009-11-18,0.25,1.31,1.79,2.62,2.92,3.41,3.95,1.05,,1.05,2.1
2009-11-19,0.25,1.26,1.74,2.58,2.88,3.38,3.92,1.0638,,1.0638,2.12
2009-11-20,0.25,1.25,1.73,2.56,2.87,3.38,3.93,1.0696,,1.0696,2.13
2009-11-23,0.25,1.25,1.72,2.54,2.85,3.37,3.93,1.0551,,1.0551,2.12
2009-11-24,0.25,1.18,1.65,2.45,2.76,3.28,3.85,1.0608,,1.0608,2.0999999999999996
2009-11-25,0.25,1.15,1.62,2.41,2.74,3.25,3.85,1.0501,,1.0501,2.1
2009-11-26,0.25,1.1,1.57,2.35,2.68,3.2,3.82,1.0595,,1.0595,2.1
2009-11-27,0.25,1.12,1.59,2.37,2.7,3.22,3.84,1.0624,,1.0624,2.1
2009-11-30,0.25,1.1,1.57,2.37,2.69,3.22,3.84,1.0574,,1.0574,2.12
2009-12-01,0.25,1.09,1.56,2.38,2.71,3.25,3.87,1.0432,,1.0432,2.16
2009-12-02,0.25,1.13,1.59,2.39,2.72,3.25,3.88,1.0468,,1.0468,2.12
2009-12-03,0.25,1.12,1.59,2.38,2.7,3.23,3.87,1.0542,,1.0542,2.11
2009-12-04,0.25,1.27,1.73,2.53,2.81,3.32,3.91,1.0517,,1.0517,2.05
2009-12-07,0.25,1.22,1.69,2.48,2.76,3.28,3.9,1.0511,,1.0511,2.0599999999999996
2009-12-08,0.25,1.2,1.67,2.46,2.76,3.29,3.93,1.0604,,1.0604,2.09
2009-12-09,0.25,1.2,1.67,2.47,2.78,3.32,3.96,1.0552,,1.0552,2.12
2009-12-10,0.25,1.22,1.68,2.51,2.82,3.35,3.99,1.0519,,1.0519,2.13
2009-12-11,0.25,1.24,1.7,2.54,2.84,3.38,3.99,1.0585,,1.0585,2.1399999999999997
2009-12-14,0.25,1.26,1.71,2.56,2.87,3.4,4.01,1.0593,,1.0593,2.1399999999999997
2009-12-15,0.25,1.28,1.74,2.57,2.87,3.4,4.0,1.062,,1.062,2.12
2009-12-16,0.25,1.32,1.78,2.59,2.88,3.4,3.99,1.058,,1.058,2.08
2009-12-17,0.25,1.28,1.73,2.54,2.84,3.37,3.97,1.0713,,1.0713,2.09
2009-12-18,0.25,1.3,1.75,2.57,2.88,3.41,4.01,1.0678,,1.0678,2.1100000000000003
2009-12-21,0.25,1.36,1.8,2.68,2.99,3.51,4.08,1.0594,,1.0594,2.1499999999999995
2009-12-22,0.25,1.39,1.84,2.74,3.06,3.59,4.12,1.0556,,1.0556,2.2
2009-12-23,0.25,1.37,1.82,2.7,3.04,3.57,4.07,1.0476,,1.0476,2.1999999999999997
2009-12-24,0.25,1.39,1.84,2.74,3.07,3.6,4.08,1.0488,,1.0488,2.21
2009-12-25,0.25,,,,,,,,,,
2009-12-28,0.25,,,,,,,,,,
2009-12-29,0.25,1.44,1.89,2.75,3.08,3.61,4.09,1.0405,,1.0405,2.17
2009-12-30,0.25,1.43,1.88,2.74,3.08,3.6,4.07,1.0525,,1.0525,2.17
2009-12-31,0.25,1.47,1.92,2.77,3.1,3.61,4.08,1.0466,,1.0466,2.1399999999999997
2010-01-01,0.25,,,,,,,,,,
2010-01-04,0.25,1.45,1.9,2.75,3.09,3.6,4.1,1.0378,,1.0378,2.1500000000000004
2010-01-05,0.25,1.38,1.82,2.7,3.04,3.56,4.08,1.0372,,1.0372,2.18
2010-01-06,0.25,1.38,1.83,2.74,3.09,3.62,4.14,1.0334,,1.0334,2.24
2010-01-07,0.25,1.38,1.83,2.75,3.1,3.63,4.15,1.0351,,1.0351,2.25
2010-01-08,0.25,1.31,1.76,2.69,3.05,3.59,4.11,1.0344,,1.0344,2.28
2010-01-11,0.25,1.29,1.75,2.7,3.05,3.61,4.14,1.0317,,1.0317,2.32
2010-01-12,0.25,1.27,1.73,2.66,3.01,3.55,4.09,1.0375,,1.0375,2.28
2010-01-13,0.25,1.34,1.8,2.72,3.06,3.61,4.14,1.0322,,1.0322,2.2699999999999996
2010-01-14,0.25,1.32,1.78,2.69,3.02,3.55,4.09,1.0261,,1.0261,2.2299999999999995
2010-01-15,0.25,1.28,1.74,2.63,2.96,3.49,4.05,1.0287,,1.0287,2.21
2010-01-18,0.25,1.27,1.73,2.61,2.94,3.47,4.04,1.0251,,1.0251,2.2
2010-01-19,0.25,1.26,1.72,2.6,2.94,3.48,4.04,1.0328,,1.0328,2.2199999999999998
2010-01-20,0.25,1.2,1.67,2.54,2.88,3.42,4.01,1.0478,,1.0478,2.2199999999999998
